"LEASE_NUMBER","MMS_COMPANY_NUM","BUS_ASC_NAME","ASGN_STATUS_CODE","OWNER_ALIQUOT_CD","SN_LSE_OWNER","ASSGN_APRV_DATE","MMS_STRT_DATE","ASSGN_TERM_DATE","OWNER_GROUP_CODE","ASSIGNMENT_PCT","ASSGN_EFF_DATE","LEASE_NUM"
"G34886","03663","Ridgewood Rialto Holdings, LLC","C","1","301987",6/24/2021,4/28/2021,,"","7.125",1/1/2021,"G34886"
"G35325","03663","Ridgewood Rialto Holdings, LLC","C","1","302012",6/28/2021,4/28/2021,,"","7.08333",1/1/2021,"G35325"
"G35662","03663","Ridgewood Rialto Holdings, LLC","C","1","302023",6/28/2021,4/28/2021,,"","5.66667",1/1/2021,"G35662"
"G37022","03663","Ridgewood Rialto Holdings, LLC","C","A","302266",9/22/2021,8/9/2021,,"A","5.83333",6/6/2021,"G37022"
"G35862","03663","Ridgewood Rialto Holdings, LLC","C","1","302030",6/28/2021,4/28/2021,,"","5.66667",1/1/2021,"G35862"
"G35864","03663","Ridgewood Rialto Holdings, LLC","C","1","302037",6/29/2021,4/28/2021,,"","5.66667",1/1/2021,"G35864"
"G35865","03663","Ridgewood Rialto Holdings, LLC","C","1","302049",6/29/2021,4/28/2021,,"","5.66667",1/1/2021,"G35865"
"G35868","03663","Ridgewood Rialto Holdings, LLC","C","1","302062",6/29/2021,4/28/2021,,"","5.66667",1/1/2021,"G35868"
"G36470","03663","Ridgewood Rialto Holdings, LLC","C","1","302070",6/29/2021,4/28/2021,,"","2.91667",1/1/2021,"G36470"
"G36822","03663","Ridgewood Rialto Holdings, LLC","C","1","302099",6/30/2021,4/28/2021,,"","8.33333",1/1/2021,"G36822"
"G35893","03442","Ridgewood Melisandre, LLC","C","1","296267",10/22/2019,6/21/2016,,"","35",6/1/2016,"G35893"
"G08483","03490","Ridgewood Rampart, LLC","C","1","290895",12/19/2017,4/4/2017,,"","15",5/1/2017,"G08483"
"G08483","03490","Ridgewood Rampart, LLC","C","1","290895",12/19/2017,4/4/2017,,"","15",5/1/2017,"G08483"
"G08483","03490","Ridgewood Rampart, LLC","C","1","290895",12/19/2017,4/4/2017,,"","15",5/1/2017,"G08483"
"G35244","03566","Delek GOM Investments, LLC","C","1","293389",10/19/2018,6/19/2018,,"","75",1/1/2018,"G35244"
"G36121","03566","Delek GOM Investments, LLC","C","1","293393",10/19/2018,6/19/2018,,"","75",1/1/2018,"G36121"
"G21447","02694","INPEX Americas, Inc.","C","1","301565",3/10/2021,3/11/2019,,"","5.05384",10/1/2020,"G21447"
"G21447","02694","INPEX Americas, Inc.","C","1","301565",3/10/2021,3/11/2019,,"","5.05384",10/1/2020,"G21447"
"G32654","02694","INPEX Americas, Inc.","C","1","301572",3/10/2021,3/11/2019,,"","5.05384",10/1/2020,"G32654"
"G32654","02694","INPEX Americas, Inc.","C","1","301572",3/10/2021,3/11/2019,,"","5.05384",10/1/2020,"G32654"
"G25806","03496","Navitas Buckskin US, LLC","C","1","301910",6/23/2021,5/11/2017,,"","7.5",1/1/2021,"G25806"
"G25813","03496","Navitas Buckskin US, LLC","C","1","301918",6/23/2021,5/11/2017,,"","7.5",1/1/2021,"G25813"
"G25814","03496","Navitas Buckskin US, LLC","C","1","301926",6/23/2021,5/11/2017,,"","7.5",1/1/2021,"G25814"
"G25815","03496","Navitas Buckskin US, LLC","C","1","301934",6/23/2021,5/11/2017,,"","7.5",1/1/2021,"G25815"
"G25823","03496","Navitas Buckskin US, LLC","C","1","301942",6/24/2021,5/11/2017,,"","7.5",1/1/2021,"G25823"
"G32650","03496","Navitas Buckskin US, LLC","C","1","301958",6/24/2021,5/11/2017,,"","7.5",1/1/2021,"G32650"
"G36470","03496","Navitas Buckskin US, LLC","C","1","302065",6/29/2021,5/11/2017,,"","7.5",1/1/2021,"G36470"
"G36161","03538","Ridgewood Allyrion, LLC","C","1","301033",12/9/2020,12/7/2017,,"","17.5",9/10/2020,"G36161"
"G36162","03538","Ridgewood Allyrion, LLC","C","1","301044",12/9/2020,12/7/2017,,"","17.5",9/10/2020,"G36162"
"G22812","03636","RFP Offshore, Inc. ","C","C","302510",10/29/2021,8/27/2020,,"C","12.5",6/30/2021,"G22812"
"G22812","03636","RFP Offshore, Inc. ","C","A","302505",10/29/2021,8/27/2020,,"A","12.5",6/30/2021,"G22812"
"G33690","03636","RFP Offshore, Inc. ","C","1","301005",12/9/2020,8/27/2020,,"","12.5",7/1/2020,"G33690"
"G36588","00689","Shell Offshore Inc.","C","1","294669",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36588"
"G36589","00689","Shell Offshore Inc.","C","1","294670",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36589"
"G36590","00689","Shell Offshore Inc.","C","1","294671",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36590"
"G36591","00689","Shell Offshore Inc.","C","1","294672",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36591"
"G36592","00689","Shell Offshore Inc.","C","1","294673",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36592"
"G36593","00689","Shell Offshore Inc.","C","1","294674",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36593"
"G36594","00689","Shell Offshore Inc.","C","1","294675",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36594"
"G36595","00689","Shell Offshore Inc.","C","1","294676",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36595"
"G36596","00689","Shell Offshore Inc.","C","1","294677",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36596"
"G36597","00689","Shell Offshore Inc.","C","1","294678",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36597"
"G36598","00689","Shell Offshore Inc.","C","1","294679",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36598"
"G36599","00689","Shell Offshore Inc.","C","1","294680",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36599"
"G36600","00689","Shell Offshore Inc.","C","1","294681",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36600"
"G36601","00689","Shell Offshore Inc.","C","1","294682",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36601"
"G36604","00689","Shell Offshore Inc.","C","1","294685",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36604"
"G36605","00689","Shell Offshore Inc.","C","1","294686",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36605"
"G36606","00689","Shell Offshore Inc.","C","1","294687",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36606"
"G36607","00689","Shell Offshore Inc.","C","1","294688",7/1/2019,12/21/1981,,"","100",7/1/2019,"G36607"
"G36608","00689","Shell Offshore Inc.","C","1","294689",7/1/2019,12/21/1981,,"","100",7/1/2019,"G36608"
"G36609","00689","Shell Offshore Inc.","C","1","294690",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36609"
"G36610","00689","Shell Offshore Inc.","C","1","294691",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36610"
"G36611","00689","Shell Offshore Inc.","C","1","294692",7/1/2019,12/21/1981,,"","100",7/1/2019,"G36611"
"G36612","00689","Shell Offshore Inc.","C","1","294693",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36612"
"G36613","00689","Shell Offshore Inc.","C","1","294694",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36613"
"G36614","00689","Shell Offshore Inc.","C","1","294695",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36614"
"G36615","00689","Shell Offshore Inc.","C","1","294696",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36615"
"G36616","00689","Shell Offshore Inc.","C","1","294697",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36616"
"G36617","00689","Shell Offshore Inc.","C","1","294698",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36617"
"G36618","00689","Shell Offshore Inc.","C","1","294699",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36618"
"G36619","00689","Shell Offshore Inc.","C","1","294700",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36619"
"G36620","00689","Shell Offshore Inc.","C","1","294701",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36620"
"G36621","00689","Shell Offshore Inc.","C","1","294702",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36621"
"G36622","00689","Shell Offshore Inc.","C","1","294703",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36622"
"G36639","00689","Shell Offshore Inc.","C","1","294725",7/1/2019,12/21/1981,,"","100",7/1/2019,"G36639"
"G36640","00689","Shell Offshore Inc.","C","1","294726",7/1/2019,12/21/1981,,"","100",7/1/2019,"G36640"
"G36930","00689","Shell Offshore Inc.","C","1","300882",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36930"
"G36931","00689","Shell Offshore Inc.","C","1","300883",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36931"
"G36932","00689","Shell Offshore Inc.","C","1","300884",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36932"
"G36933","00689","Shell Offshore Inc.","C","1","300885",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36933"
"G36934","00689","Shell Offshore Inc.","C","1","300886",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36934"
"G36935","00689","Shell Offshore Inc.","C","1","300887",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36935"
"G36936","00689","Shell Offshore Inc.","C","1","300888",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36936"
"G36937","00689","Shell Offshore Inc.","C","1","300889",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36937"
"G36938","00689","Shell Offshore Inc.","C","1","300890",3/1/2021,12/21/1981,,"","100",3/1/2021,"G36938"
"G36961","00689","Shell Offshore Inc.","C","1","300913",2/1/2021,12/21/1981,,"","100",2/1/2021,"G36961"
"G36962","00689","Shell Offshore Inc.","C","1","300914",1/1/2021,12/21/1981,,"","100",1/1/2021,"G36962"
"G36964","00689","Shell Offshore Inc.","C","1","300916",2/1/2021,12/21/1981,,"","100",2/1/2021,"G36964"
"G36970","00689","Shell Offshore Inc.","C","1","300922",2/1/2021,12/21/1981,,"","100",2/1/2021,"G36970"
"G36972","00689","Shell Offshore Inc.","C","1","303898",5/13/2022,12/21/1981,,"","60",4/1/2022,"G36972"
"G36973","00689","Shell Offshore Inc.","C","1","303900",5/13/2022,12/21/1981,,"","60",4/1/2022,"G36973"
"G36974","00689","Shell Offshore Inc.","C","1","300926",1/1/2021,12/21/1981,,"","100",1/1/2021,"G36974"
"G36975","00689","Shell Offshore Inc.","C","1","300927",1/1/2021,12/21/1981,,"","100",1/1/2021,"G36975"
"G36976","00689","Shell Offshore Inc.","C","1","300928",1/1/2021,12/21/1981,,"","100",1/1/2021,"G36976"
"G36979","00689","Shell Offshore Inc.","C","1","300931",1/1/2021,12/21/1981,,"","100",1/1/2021,"G36979"
"G36981","00689","Shell Offshore Inc.","C","1","303229",2/16/2022,12/21/1981,,"","30",1/12/2022,"G36981"
"G36982","00689","Shell Offshore Inc.","C","1","303232",2/16/2022,12/21/1981,,"","30",1/12/2022,"G36982"
"G36992","00689","Shell Offshore Inc.","C","1","303956",5/18/2022,12/21/1981,,"","60",4/1/2022,"G36992"
"G36994","00689","Shell Offshore Inc.","C","1","303957",5/18/2022,12/21/1981,,"","25",4/1/2022,"G36994"
"G36995","00689","Shell Offshore Inc.","C","1","303959",5/18/2022,12/21/1981,,"","25",4/1/2022,"G36995"
"G36665","00689","Shell Offshore Inc.","C","1","303864",5/12/2022,12/21/1981,,"","25",4/1/2022,"G36665"
"G36666","00689","Shell Offshore Inc.","C","1","303890",5/13/2022,12/21/1981,,"","25",4/1/2022,"G36666"
"G36667","00689","Shell Offshore Inc.","C","1","303947",5/18/2022,12/21/1981,,"","60",4/1/2022,"G36667"
"G36668","00689","Shell Offshore Inc.","C","1","294758",7/1/2019,12/21/1981,,"","100",7/1/2019,"G36668"
"G36669","00689","Shell Offshore Inc.","C","1","294759",7/1/2019,12/21/1981,,"","100",7/1/2019,"G36669"
"G36671","00689","Shell Offshore Inc.","C","1","303895",5/13/2022,12/21/1981,,"","25",4/1/2022,"G36671"
"G36680","00689","Shell Offshore Inc.","C","1","294773",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36680"
"G36681","00689","Shell Offshore Inc.","C","1","294774",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36681"
"G36682","00689","Shell Offshore Inc.","C","1","294775",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36682"
"G36684","00689","Shell Offshore Inc.","C","1","294777",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36684"
"G36685","00689","Shell Offshore Inc.","C","1","294778",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36685"
"G36687","00689","Shell Offshore Inc.","C","1","294780",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36687"
"G36688","00689","Shell Offshore Inc.","C","1","294781",6/1/2019,12/21/1981,,"","100",6/1/2019,"G36688"
"G36102","00689","Shell Offshore Inc.","C","1","302311",9/29/2021,12/21/1981,,"","89.49",7/27/2021,"G36102"
"G36103","00689","Shell Offshore Inc.","C","1","302314",9/29/2021,12/21/1981,,"","89.49",7/27/2021,"G36103"
"G36104","00689","Shell Offshore Inc.","C","1","303241",2/16/2022,12/21/1981,,"","69.58239",5/1/2021,"G36104"
"G36105","00689","Shell Offshore Inc.","C","1","294481",3/21/2019,12/21/1981,,"","50",2/2/2019,"G36105"
"G36106","00689","Shell Offshore Inc.","C","1","294810",4/15/2019,12/21/1981,,"","60",9/1/2018,"G36106"
"G36107","00689","Shell Offshore Inc.","C","1","294835",4/22/2019,12/21/1981,,"","60",9/1/2018,"G36107"
"G36108","00689","Shell Offshore Inc.","C","1","294834",4/22/2019,12/21/1981,,"","50",9/1/2018,"G36108"
"G36109","00689","Shell Offshore Inc.","C","1","294838",4/22/2019,12/21/1981,,"","50",9/1/2018,"G36109"
"G36110","00689","Shell Offshore Inc.","C","1","294839",4/22/2019,12/21/1981,,"","60",9/1/2018,"G36110"
"G36111","00689","Shell Offshore Inc.","C","1","294842",4/22/2019,12/21/1981,,"","50",9/1/2018,"G36111"
"G36112","00689","Shell Offshore Inc.","C","1","294844",4/22/2019,12/21/1981,,"","50",9/1/2018,"G36112"
"G27982","02973","Ridgewood Energy W Fund, LLC","C","B","300220",9/22/2020,7/13/2007,,"B","2.89",2/28/2020,"G27982"
"G33140","02973","Ridgewood Energy W Fund, LLC","C","1","300247",9/22/2020,7/13/2007,,"","2.89",2/28/2020,"G33140"
"G33140","02973","Ridgewood Energy W Fund, LLC","C","1","300247",9/22/2020,7/13/2007,,"","2.89",2/28/2020,"G33140"
"G33177","02973","Ridgewood Energy W Fund, LLC","C","1","300260",9/22/2020,7/13/2007,,"","2.89",2/28/2020,"G33177"
"G33707","02973","Ridgewood Energy W Fund, LLC","C","1","300270",9/22/2020,7/13/2007,,"","2.89",10/28/2020,"G33707"
"G36875","02973","Ridgewood Energy W Fund, LLC","C","1","301319",2/2/2021,7/13/2007,,"","2.89",7/1/2020,"G36875"
"G35805","02973","Ridgewood Energy W Fund, LLC","C","1","300283",9/22/2020,7/13/2007,,"","2.89",2/28/2020,"G35805"
"G04518","03001","CV Energy Corporation","C","1","293864",2/4/2019,12/11/2007,,"","33.33333",11/1/2018,"G04518"
"G05884","03001","CV Energy Corporation","C","1","220586",2/20/2008,,,"","50",12/14/2007,"G05884"
"G05884","03001","CV Energy Corporation","C","1","220586",2/20/2008,,,"","50",12/14/2007,"G05884"
"G05889","02998","Wild Well Control, Inc.","C","1","249302",6/4/2010,12/7/2007,,"","100",1/1/2010,"G05889"
"G05900","02998","Wild Well Control, Inc.","C","1","249304",6/4/2010,12/7/2007,,"","100",1/1/2010,"G05900"
"G14668","02998","Wild Well Control, Inc.","C","1","249303",6/4/2010,12/7/2007,,"","100",1/1/2010,"G14668"
"G34539","02998","Wild Well Control, Inc.","C","1","303201",2/15/2022,12/7/2007,,"","51",8/27/2021,"G34539"
"G22868","03022","Ridgewood Energy X Fund, LLC","C","1","301867",6/17/2021,3/11/2008,,"","0.84434",8/1/2020,"G22868"
"G22868","03022","Ridgewood Energy X Fund, LLC","C","1","301867",6/17/2021,3/11/2008,,"","0.84434",8/1/2020,"G22868"
"G22873","03022","Ridgewood Energy X Fund, LLC","C","1","300073",9/22/2020,3/11/2008,,"","0.87579",2/28/2020,"G22873"
"G22873","03022","Ridgewood Energy X Fund, LLC","C","1","300073",9/22/2020,3/11/2008,,"","0.87579",2/28/2020,"G22873"
"G22877","03022","Ridgewood Energy X Fund, LLC","C","1","300086",9/22/2020,3/11/2008,,"","0.87579",2/28/2020,"G22877"
"G22877","03022","Ridgewood Energy X Fund, LLC","C","1","300086",9/22/2020,3/11/2008,,"","0.87579",2/28/2020,"G22877"
"G24064","03022","Ridgewood Energy X Fund, LLC","C","1","301883",6/17/2021,3/11/2008,,"","0.84434",8/1/2020,"G24064"
"G24064","03022","Ridgewood Energy X Fund, LLC","C","1","301883",6/17/2021,3/11/2008,,"","0.84434",8/1/2020,"G24064"
"G34435","03022","Ridgewood Energy X Fund, LLC","C","1","300021",9/22/2020,3/11/2008,,"","0.84434",2/28/2020,"G34435"
"G34438","03022","Ridgewood Energy X Fund, LLC","C","1","300103",9/22/2020,3/11/2008,,"","0.87579",2/28/2020,"G34438"
"G35324","03022","Ridgewood Energy X Fund, LLC","C","1","300146",9/22/2020,3/11/2008,,"","0.71607",2/28/2020,"G35324"
"G02278","03033","Black Elk Energy Offshore Operations, LLC","C","C","278120",1/8/2015,3/20/2008,,"C","6.7609",7/1/2013,"G02278"
"G02278","03033","Black Elk Energy Offshore Operations, LLC","C","B","278117",1/8/2015,3/20/2008,,"B","42.31318",7/1/2013,"G02278"
"G02388","03033","Black Elk Energy Offshore Operations, LLC","C","1","292678",8/31/2018,3/20/2008,,"","35.97649",6/1/2018,"G02388"
"G10942","03033","Black Elk Energy Offshore Operations, LLC","C","1","251090",11/2/2010,3/20/2008,,"","9",1/1/2010,"G10942"
"G11553","03033","Black Elk Energy Offshore Operations, LLC","C","1","256856",9/7/2011,3/20/2008,,"","15",1/1/2011,"G11553"
"G16549","03033","Black Elk Energy Offshore Operations, LLC","C","1","251105",11/2/2010,3/20/2008,,"","9",1/1/2010,"G16549"
"G02063","02642","LCX Energy, L.L.C.","C","1","291831",5/31/2018,2/28/2003,,"","12.5",4/11/2018,"G02063"
"G02063","02642","LCX Energy, L.L.C.","C","1","291831",5/31/2018,2/28/2003,,"","12.5",4/11/2018,"G02063"
"G22868","03062","Ridgewood Energy Y Fund, LLC","C","1","301868",6/17/2021,8/1/2008,,"","0.84434",8/1/2020,"G22868"
"G22868","03062","Ridgewood Energy Y Fund, LLC","C","1","301868",6/17/2021,8/1/2008,,"","0.84434",8/1/2020,"G22868"
"G22873","03062","Ridgewood Energy Y Fund, LLC","C","1","300074",9/22/2020,8/1/2008,,"","0.87579",2/28/2020,"G22873"
"G22873","03062","Ridgewood Energy Y Fund, LLC","C","1","300074",9/22/2020,8/1/2008,,"","0.87579",2/28/2020,"G22873"
"G22877","03062","Ridgewood Energy Y Fund, LLC","C","1","300087",9/22/2020,8/1/2008,,"","0.87579",2/28/2020,"G22877"
"G22877","03062","Ridgewood Energy Y Fund, LLC","C","1","300087",9/22/2020,8/1/2008,,"","0.87579",2/28/2020,"G22877"
"G24064","03062","Ridgewood Energy Y Fund, LLC","C","1","301884",6/17/2021,8/1/2008,,"","0.84434",8/1/2020,"G24064"
"G24064","03062","Ridgewood Energy Y Fund, LLC","C","1","301884",6/17/2021,8/1/2008,,"","0.84434",8/1/2020,"G24064"
"G27982","03062","Ridgewood Energy Y Fund, LLC","C","B","300221",9/22/2020,8/1/2008,,"B","2",2/28/2020,"G27982"
"G33140","03062","Ridgewood Energy Y Fund, LLC","C","1","300248",9/22/2020,8/1/2008,,"","2",2/28/2020,"G33140"
"G33140","03062","Ridgewood Energy Y Fund, LLC","C","1","300248",9/22/2020,8/1/2008,,"","2",2/28/2020,"G33140"
"G33177","03062","Ridgewood Energy Y Fund, LLC","C","1","300261",9/22/2020,8/1/2008,,"","2",2/28/2020,"G33177"
"G33707","03062","Ridgewood Energy Y Fund, LLC","C","1","300271",9/22/2020,8/1/2008,,"","2",10/28/2020,"G33707"
"G34435","03062","Ridgewood Energy Y Fund, LLC","C","1","300022",9/22/2020,8/1/2008,,"","0.84434",2/28/2020,"G34435"
"G34438","03062","Ridgewood Energy Y Fund, LLC","C","1","300104",9/22/2020,8/1/2008,,"","0.87579",2/28/2020,"G34438"
"G35324","03062","Ridgewood Energy Y Fund, LLC","C","1","300145",9/22/2020,8/1/2008,,"","0.71607",2/28/2020,"G35324"
"G36875","03062","Ridgewood Energy Y Fund, LLC","C","1","301318",2/2/2021,8/1/2008,,"","2",7/1/2020,"G36875"
"G35805","03062","Ridgewood Energy Y Fund, LLC","C","1","300287",9/22/2020,8/1/2008,,"","2",2/28/2020,"G35805"
" 00828","02630","Dynamic Offshore Resources NS, LLC","C","1","219333",1/25/2008,12/3/2002,,"","35.48387",1/1/2008,"00828"
"G01528","02630","Dynamic Offshore Resources NS, LLC","C","1","272413",11/20/2013,12/3/2002,,"","33.75",9/1/2013,"G01528"
"G03169","02630","Dynamic Offshore Resources NS, LLC","C","1","246829",1/7/2010,12/3/2002,,"","34.5",9/1/2009,"G03169"
"G03169","02630","Dynamic Offshore Resources NS, LLC","C","1","246829",1/7/2010,12/3/2002,,"","34.5",9/1/2009,"G03169"
"G03520","02630","Dynamic Offshore Resources NS, LLC","C","1","292215",7/3/2018,12/3/2002,,"","3.69662",3/1/2018,"G03520"
"G04473","02630","Dynamic Offshore Resources NS, LLC","C","B","257348",10/18/2011,12/3/2002,,"B","6.5412",6/1/2011,"G04473"
"G05438","02630","Dynamic Offshore Resources NS, LLC","C","1","261422",6/1/2012,,,"","47.4",6/1/2011,"G05438"
"G05438","02630","Dynamic Offshore Resources NS, LLC","C","1","261422",6/1/2012,,,"","47.4",6/1/2011,"G05438"
"G22868","03078","Ridgewood Energy Z Fund, LLC","C","1","301869",6/17/2021,10/23/2008,,"","0.84434",8/1/2020,"G22868"
"G22868","03078","Ridgewood Energy Z Fund, LLC","C","1","301869",6/17/2021,10/23/2008,,"","0.84434",8/1/2020,"G22868"
"G22873","03078","Ridgewood Energy Z Fund, LLC","C","1","300075",9/22/2020,10/23/2008,,"","0.87579",2/28/2020,"G22873"
"G22873","03078","Ridgewood Energy Z Fund, LLC","C","1","300075",9/22/2020,10/23/2008,,"","0.87579",2/28/2020,"G22873"
"G22877","03078","Ridgewood Energy Z Fund, LLC","C","1","300088",9/22/2020,10/23/2008,,"","0.87579",2/28/2020,"G22877"
"G22877","03078","Ridgewood Energy Z Fund, LLC","C","1","300088",9/22/2020,10/23/2008,,"","0.87579",2/28/2020,"G22877"
"G24064","03078","Ridgewood Energy Z Fund, LLC","C","1","301885",6/17/2021,10/23/2008,,"","0.84434",8/1/2020,"G24064"
"G24064","03078","Ridgewood Energy Z Fund, LLC","C","1","301885",6/17/2021,10/23/2008,,"","0.84434",8/1/2020,"G24064"
"G34435","03078","Ridgewood Energy Z Fund, LLC","C","1","300023",9/22/2020,10/23/2008,,"","0.84434",2/28/2020,"G34435"
"G34438","03078","Ridgewood Energy Z Fund, LLC","C","1","300105",9/22/2020,10/23/2008,,"","0.87579",2/28/2020,"G34438"
"G35324","03078","Ridgewood Energy Z Fund, LLC","C","1","300144",9/22/2020,10/23/2008,,"","0.71607",2/28/2020,"G35324"
"G07049","02211","Newfield Exploration Gulf Coast LLC","C","1","90038",11/9/2000,,,"","40",3/30/1999,"G07049"
"G07049","02211","Newfield Exploration Gulf Coast LLC","C","1","90038",11/9/2000,,,"","40",3/30/1999,"G07049"
"G08010","02211","Newfield Exploration Gulf Coast LLC","C","1","98781",11/9/2000,,,"","40",3/30/1999,"G08010"
"G08010","02211","Newfield Exploration Gulf Coast LLC","C","1","98781",11/9/2000,,,"","40",3/30/1999,"G08010"
"G35655","03429","Ridgewood Dothraki, LLC","C","1","297920",8/12/2020,3/2/2016,,"","30.15",7/13/2020,"G35655"
"G36980","03429","Ridgewood Dothraki, LLC","C","1","302102",7/2/2021,3/2/2016,,"","30.15",2/1/2021,"G36980"
"G35822","03440","Ridgewood Cornius, LLC","C","1","300340",9/22/2020,6/17/2016,,"","25",2/28/2020,"G35822"
"G21176","03618","Talos Exploration LLC","C","1","304021",5/26/2022,2/26/2020,,"","20.25",4/1/2021,"G21176"
"G21176","03618","Talos Exploration LLC","C","1","304021",5/26/2022,2/26/2020,,"","20.25",4/1/2021,"G21176"
"G22868","03618","Talos Exploration LLC","C","1","301863",6/17/2021,2/26/2020,,"","11.39858",8/1/2020,"G22868"
"G22868","03618","Talos Exploration LLC","C","1","301863",6/17/2021,2/26/2020,,"","11.39858",8/1/2020,"G22868"
"G22873","03618","Talos Exploration LLC","C","1","300080",9/22/2020,2/26/2020,,"","11.82311",2/28/2020,"G22873"
"G22873","03618","Talos Exploration LLC","C","1","300080",9/22/2020,2/26/2020,,"","11.82311",2/28/2020,"G22873"
"G22877","03618","Talos Exploration LLC","C","1","300093",9/22/2020,2/26/2020,,"","11.82311",2/28/2020,"G22877"
"G22877","03618","Talos Exploration LLC","C","1","300093",9/22/2020,2/26/2020,,"","11.82311",2/28/2020,"G22877"
"G24055","03618","Talos Exploration LLC","C","1","298678",9/22/2020,2/26/2020,,"","5.40113",2/28/2020,"G24055"
"G24059","03618","Talos Exploration LLC","C","1","300060",9/22/2020,2/26/2020,,"","19.47149",2/28/2020,"G24059"
"G24060","03618","Talos Exploration LLC","C","1","300064",9/22/2020,2/26/2020,,"","17.5",2/28/2020,"G24060"
"G24064","03618","Talos Exploration LLC","C","1","301880",6/17/2021,2/26/2020,,"","11.39858",8/1/2020,"G24064"
"G24064","03618","Talos Exploration LLC","C","1","301880",6/17/2021,2/26/2020,,"","11.39858",8/1/2020,"G24064"
"G27247","03618","Talos Exploration LLC","C","1","301080",12/16/2020,2/26/2020,,"","34.2375",8/1/2020,"G27247"
"G27982","03618","Talos Exploration LLC","C","B","300214",9/22/2020,2/26/2020,,"B","6.25",2/28/2020,"G27982"
"G33140","03618","Talos Exploration LLC","C","1","300252",9/22/2020,2/26/2020,,"","6.25",2/28/2020,"G33140"
"G33140","03618","Talos Exploration LLC","C","1","300252",9/22/2020,2/26/2020,,"","6.25",2/28/2020,"G33140"
"G33177","03618","Talos Exploration LLC","C","1","300265",9/22/2020,2/26/2020,,"","6.25",2/28/2020,"G33177"
"G33707","03618","Talos Exploration LLC","C","1","300267",9/22/2020,2/26/2020,,"","6.25",10/28/2020,"G33707"
"G33757","03618","Talos Exploration LLC","C","1","303200",2/15/2022,2/26/2020,,"","17.5",8/27/2021,"G33757"
"G34435","03618","Talos Exploration LLC","C","1","300015",9/22/2020,2/26/2020,,"","11.39858",2/28/2020,"G34435"
"G34438","03618","Talos Exploration LLC","C","1","300097",9/22/2020,2/26/2020,,"","11.82311",2/28/2020,"G34438"
"G34441","03618","Talos Exploration LLC","C","1","300319",9/22/2020,2/26/2020,,"","23.85",2/28/2020,"G34441"
"G34874","03618","Talos Exploration LLC","C","1","301103",12/16/2020,2/26/2020,,"","34.2375",8/1/2020,"G34874"
"G34895","03618","Talos Exploration LLC","C","1","301207",12/18/2020,2/26/2020,,"","12.875",8/1/2020,"G34895"
"G34896","03618","Talos Exploration LLC","C","1","301217",12/18/2020,2/26/2020,,"","12.875",8/1/2020,"G34896"
"G34909","03618","Talos Exploration LLC","C","1","300694",11/3/2020,2/26/2020,,"","25.25",7/1/2020,"G34909"
"G35324","03618","Talos Exploration LLC","C","1","300151",9/22/2020,2/26/2020,,"","11.875",2/28/2020,"G35324"
