id,externalId,name,isString,isStep,description,securityCategories,unit,tag,scan,span,step,zero,recno,excdev,excmax,excmin,exdesc,future,compdev,compmax,compmin,convers,pointid,srcptid,engunits,shutdown,userint1,userint2,archiving,location1,location2,location3,location4,location5,pointtype,ptclassid,sourcetag,totalcode,userreal1,userreal2,descriptor,digitalset,filtercode,ptclassrev,squareroot,compressing,pointsource,ptclassname,typicalvalue,displaydigits,excdevpercent,instrumenttag,compdevpercent
4469726646389563,pi:160557,VAL_23-LY-92529_Outputs_foamLevel:VALUE,False,False,PH (Profiler) % Scaled Level Output for Level B or Foam,[],%,VAL_23-LY-92529_Outputs_foamLevel:VALUE,1,100,0,0,145057,0,600,0,,0,0,28800,0,1,160557,0,%,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH (Profiler) % Scaled Level Output for Level B or Foam,,0,1,0,1,VLH_PCN5,classic,50,-5,0,23-LY-92529_Outputs_foamLevel:VALUE,0
4491013851562232,pi:160548,VAL_23-LY-92529_DensityBands_03oilUL:VALUE,False,False,PH (Profiler) Density Band 4 Upper Limit (OIL),[],Kg/m3,VAL_23-LY-92529_DensityBands_03oilUL:VALUE,1,100,0,0,145048,0,600,0,,0,0,28800,0,1,160548,0,Kg/m3,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH (Profiler) Density Band 4 Upper Limit (OIL),,0,1,0,1,VLH_PCN5,classic,50,-5,0,23-LY-92529_DensityBands_03oilUL:VALUE,0
4536050948168300,pi:160578,VAL_23-NY-96144-03:VALUE,False,False,PH (CBM) Phase C Negative NQN,[],-,VAL_23-NY-96144-03:VALUE,1,100,0,0,145078,0,600,0,,0,0,28800,0,1,160578,0,-,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH (CBM) Phase C Negative NQN,,0,1,0,1,VLH_PCN5,classic,50,-5,0,23-NY-96144-03:VALUE,0
4536709084509158,pi:160527,VAL_23-LT-96182:Z.X1.Value,False,False,PH 1st Stg Oil Reservoir,[],,VAL_23-LT-96182:Z.X1.Value,1,100,0,0,145027,0,600,0,,0,0,28800,0,1,160527,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1st Stg Oil Reservoir,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-LT-96182:Z.X1.Value,0
4564582615213723,pi:160727,VAL_23-PT-96157:Z.X2.Value,False,False,PH 1st Stg Outer Seal NDE,[],,VAL_23-PT-96157:Z.X2.Value,1,100,0,0,145227,0,600,0,,0,0,28800,0,1,160727,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1st Stg Outer Seal NDE,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-PT-96157:Z.X2.Value,0
4574726276006657,pi:160779,VAL_23-TIC-92504:Control Module:YR,False,True,PH 1stStgSuctCool Gas Out Working Setpoint,[],degC,VAL_23-TIC-92504:Control Module:YR,1,100,1,0,145279,0,600,0,,0,0,1200,0,1,160779,0,degC,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgSuctCool Gas Out Working Setpoint,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-TIC-92504:Control Module:YR,0
4601872864713179,pi:161023,VAL_23-YA-96119-02:Z.X.Value,False,False,PH 1stStg Gear2 Journ BRG NDE,[],,VAL_23-YA-96119-02:Z.X.Value,0,100,0,0,145523,0,600,0,,0,0,28800,0,1,161023,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Gear2 Journ BRG NDE,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23-YA-96119-02:Z.X.Value,0
4611900505482023,pi:191091,VAL_23-TIC-92604B:Z.X.Value,False,False,PH 1stStgDiscCool Gas Out Measured Value,[],degC,VAL_23-TIC-92604B:Z.X.Value,1,100,0,0,175483,0,600,0,,0,0,28800,0,1,191091,0,degC,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgDiscCool Gas Out Measured Value,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-TIC-92604B:Z.X.Value,0
4613699289859583,pi:160786,VAL_23-TIC-92604:Control Module:PI,False,False,PH 1stStgDiscCool Gas Out Integral time,[],s,VAL_23-TIC-92604:Control Module:PI,0,100,0,0,145286,0,86400,0,,0,0,86400,0,1,160786,0,s,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgDiscCool Gas Out Integral time,,0,1,0,1,LAB-WAS-VAL800,classic,50,-5,0,23-TIC-92604:Control Module:PI,0
4647026104475216,pi:160776,VAL_23-TIC-92504:Control Module:PD,False,False,PH 1stStgSuctCool Gas Out Derivate time,[],s,VAL_23-TIC-92504:Control Module:PD,1,100,0,0,145276,0,86400,0,,0,0,86400,0,1,160776,0,s,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgSuctCool Gas Out Derivate time,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-TIC-92504:Control Module:PD,0
