name,parentId,description,id,ELC_STATUS_ID,RES_ID,SOURCE_DB,SOURCE_TABLE,WMT_AREA_ID,WMT_CATEGORY_ID,WMT_CONTRACTOR_ID,WMT_FUNC_CODE_ID,WMT_LOCATION_ID,WMT_PO_ID,WMT_SAFETYCRITICALELEMENT_ID,WMT_SYSTEM_ID,WMT_TAG_CREATED_DATE,WMT_TAG_CRITICALLINE,WMT_TAG_DESC,WMT_TAG_GLOBALID,WMT_TAG_HISTORYREQUIRED,WMT_TAG_ID,WMT_TAG_ID_ANCESTOR,WMT_TAG_ISACTIVE,WMT_TAG_ISOWNEDBYPROJECT,WMT_TAG_LOOP,WMT_TAG_MAINID,WMT_TAG_NAME,WMT_TAG_UPDATED_BY,WMT_TAG_UPDATED_DATE,WMT_TAG_STATUSCHGDATE,WMT_TAG_COMMENT,WMT_TAG_SUFFIX,WMT_SYSTEM_ACTIVE,WMT_SYSTEM_CODE,WMT_SYSTEM_DESC,WMT_SYSTEM_NAME,WMT_LOCATION_ACTIVE,WMT_LOCATION_CODE,WMT_LOCATION_EXTENDACTIVEWOP,WMT_LOCATION_EXTERNALOWNERSHIP,WMT_LOCATION_MAITIS,WMT_LOCATION_NAME,WMT_LOCATION_NOCOPIESDEFAULTIC,WMT_LOCATION_NOCOPIESWOPERMIT,WMT_LOCATION_OPERATIONHOURS,WMT_LOCATION_PROGVALUE,WMT_LOCATION_SIMULATETIMEFRAME,WMT_LOCATION_SJAMAXNOOFTASKS,WMT_LOCATION_USEPLOTALTITUDE,WMT_LOCATION_WORKSTART
23-2ND STAGE COMPRESSION-PH,6895991969886325,2ND STAGE COMPRESSION ON PH,5786472304680477,1211,,workmate,wmate_dba.wmt_tag,1444,1157,,6593,1004,,,4440,2012-12-13 10:14:58,N,2ND STAGE COMPRESSION ON PH,1000000000249678,Y,681794,681760,1,0,,681760,23-2ND STAGE COMPRESSION-PH,8137,2013-12-11 14:35:29,2013-05-08 12:52:26,,,,,,,,,,,,,,,,,,,,
48-PT-96962,8903769887622255,VRD - PH STG1 COMPENCL WTR MIST CYL2,5792118180212985,1211,264603,workmate,wmate_dba.wmt_tag,1600,1116,1686,4525,1004,8309,1060,2491,2009-06-26 15:36:40,N,VRD - PH STG1 COMPENCL WTR MIST CYL2,1000000000709122,Y,351538,358687,1,0,96962,681760,48-PT-96962,4332,2015-08-14 14:36:45,,Max range (Inst. DCS and Calib.) changed from 200 to 250 bar (ref: FEM-2548),,,,,,,,,,,,,,,,,,,
23-GK-9107B,2499711953216311,VRD - 1ST STAGE COMPRESSOR ENCLOSURE VENT FAN MOTOR B,5797707052628263,1211,,workmate,wmate_dba.wmt_tag,1600,1120,,6262,1004,8309,1033,4440,2009-06-26 15:36:37,N,VRD - 1ST STAGE COMPRESSOR ENCLOSURE VENT FAN MOTOR B,1000000000706258,Y,345928,682542,1,0,,681760,23-GK-9107B,2829,2017-01-20 15:40:15,2017-01-20 15:40:15,"Manufacturer: WEG / Model: Frame 160M, Capacity: 11 kW, Operating conditions: atm @ amb",,,,,,,,,,,,,,,,,,,
23-TAH-96103,5219814416570652,SOFT TAG VRD - PH 1STSTG COMP THRUST BRG IN,5799768115034606,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2013-05-16 11:50:16,N,SOFT TAG VRD - PH 1STSTG COMP THRUST BRG IN,1000000000291787,Y,698619,345739,1,0,,681760,23-TAH-96103,1001,2015-10-09 11:56:32,,"ALARM PRIORITY SET TO: 3, TAG NUMBER CHANGED FROM: 23-TAH-96103-01. REF: VRD-CCR-000332",,,,,,,,,,,,,,,,,,,
23-TI-96136-02,4622860488208523,SOFT TAG VRD - PH 1STSTG MOTOR WINDINGS U,5819247076803828,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2012-12-13 14:16:22,N,SOFT TAG VRD - PH 1STSTG MOTOR WINDINGS U,1000000000250952,Y,683169,346440,1,0,,681760,23-TI-96136-02,1001,2015-10-09 11:56:30,2014-10-06 07:45:13,,,,,,,,,,,,,,,,,,,,
45-FO-96130,6191827428964450,VRD - PH 1STSTGCOMP MOTOR COOL CIRCUIT,5823376774586237,1211,,workmate,wmate_dba.wmt_tag,1600,1116,1686,4390,1004,,,2363,2012-10-17 12:20:28,N,VRD - PH 1STSTGCOMP MOTOR COOL CIRCUIT,1000000000230003,Y,673479,346066,1,0,96130,681760,45-FO-96130,9802,2013-12-09 12:53:03,,Tag number created. (Ref: VRD-BP-VID-EQ-000806 / 807),,,,,,,,,,,,,,,,,,,
23-HV-92445,8624522362488710,VRD - PH 1STSTGSUCTCOOL YSV OUTLET,5824182070710217,1211,444124,workmate,wmate_dba.wmt_tag,1585,1116,1686,4418,1004,8309,,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGSUCTCOOL YSV OUTLET,1000000000717089,Y,345972,346985,1,0,92445,681760,23-HV-92445,8137,2017-06-26 12:48:20,2017-06-26 12:48:20,,,,,,,,,,,,,,,,,,,,
23-LT-96182-03,6987078960569585,VRD - PH 1STSTG COMP LO RES,5826132550305704,1211,531172,workmate,wmate_dba.wmt_tag,1600,1116,1686,4469,1004,8309,1069,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTG COMP LO RES,1000000000707934,Y,346119,682985,1,0,96182,681760,23-LT-96182-03,8137,2017-01-26 08:31:56,,Percentage value for Alarm limit_L changed from 79 to 72 (Ref: VRD-BP-VID-EQ-000875-A-C-002),,,,,,,,,,,,,,,,,,,
23-TIC-92604,5412677358344403,VRD PH,5838942267158947,1225,,workmate,wmate_dba.wmt_tag,1585,1116,,4566,1004,,,4440,2012-12-13 14:17:43,N,VRD PH,1000000000251050,Y,683265,346654,0,0,,681760,23-TIC-92604,9802,2013-12-09 12:53:03,2013-08-29 14:34:54,,,,,,,,,,,,,,,,,,,,
23-TE-96116-03,3117826349444493,VRD - PH 1STSTGGEAR THRUST BRG OUT,5844376313026776,1211,525283,workmate,wmate_dba.wmt_tag,1600,1116,1686,4564,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGGEAR THRUST BRG OUT,1000000000680658,Y,346433,345637,1,0,96116,681760,23-TE-96116-03,8137,2014-07-11 09:25:15,,Added Alarm_Setpoint_Units: ?C (Ref: VRD-CCR-000505),,,,,,,,,,,,,,,,,,,
