" 00680"," D003","202301","00","G","000000000","000000000","000000000","177004129900","13","WC   20","03520","SANARE ENERGY PARTNERS LLC","WC045","000000000","S04","20170430","",""
" 00810"," J001","202301","00","G","000000000","000000000","000000000","177094147000","13","EI  246","03520","SANARE ENERGY PARTNERS LLC","EI266","000000000","S02","20190630","891008640","0"
" 00810"," J002","202301","22","G","000000000","000042178","000000512","177094147200","11","EI  246","03520","SANARE ENERGY PARTNERS LLC","EI266","000000000","S03","20181031","891008640","0"
" 00810"," J003","202301","00","G","000000000","000000000","000000000","177094148900","13","EI  246","03520","SANARE ENERGY PARTNERS LLC","EI266","000000000","D02","20090208","891008640","0"
" 00810"," J003","202301","22","G","000000018","000069863","000000597","177094148900","11","EI  246","03520","SANARE ENERGY PARTNERS LLC","EI266","000000000","D03","20181031","891008640","0"
"G01039"," A001","202301","00","U","000000000","000000000","000000000","177120001500","14","SS  274","02451","GOM SHELF LLC","SS274","000000000","X01","","",""
"G01039"," A002","202301","00","U","000000000","000000000","000000000","177120001600","14","SS  274","02451","GOM SHELF LLC","SS274","000000000","X01","","",""
"G01039"," A003","202301","14","O","000001723","000001003","000001473","177120001700","09","SS  274","02451","GOM SHELF LLC","SS274","000000000","S01","19930731","",""
"G01039"," A004","202301","00","U","000000000","000000000","000000000","177120001800","14","SS  274","02451","GOM SHELF LLC","SS274","000000000","X01","","",""
"G01039"," A006","202301","00","U","000000000","000000000","000000000","177120002001","14","SS  274","02451","GOM SHELF LLC","SS274","000000000","X01","","",""
"G01039"," A008","202301","00","U","000000000","000000000","000000000","177120002200","14","SS  274","02451","GOM SHELF LLC","SS274","000000000","X01","","",""
"G01039"," A010","202301","00","G","000000000","000000000","000000000","177120002401","13","SS  274","02451","GOM SHELF LLC","SS274","000000000","S01","19910831","",""
"G01039"," A012","202301","00","G","000000000","000000000","000000000","177120002601","13","SS  274","02451","GOM SHELF LLC","SS274","000000000","S01","19870630","",""
"G01039"," A013","202301","00","U","000000000","000000000","000000000","177120002700","14","SS  274","02451","GOM SHELF LLC","SS274","000000000","X01","","",""
"G01039"," A014B","202301","14","O","000002228","000001363","000001349","177120001903","09","SS  274","02451","GOM SHELF LLC","SS274","000000000","S03","19910930","",""
"G01039"," A016","202301","00","U","000000000","000000000","000000000","177120010202","14","SS  274","02451","GOM SHELF LLC","SS274","000000000","X01","","",""
"G01039"," C001A","202301","00","G","000000000","000000000","000000000","177124038900","13","SS  274","02451","GOM SHELF LLC","SS274","000000000","S02","19930630","",""
"G01039"," C002","202301","14","G","000000091","000000413","000000018","177124038800","11","SS  274","02451","GOM SHELF LLC","SS274","000000000","S02","19991015","",""
"G01039"," C003","202301","14","G","000000642","000000433","000000610","177124039000","11","SS  274","02451","GOM SHELF LLC","SS274","000000000","S02","20041002","",""
